class,cbo,wmc,lcom
com.topjohnwu.superuser.internal.ShellInputSource,0,2,1
com.topjohnwu.superuser.internal.HiddenAPIs,5,14,3
com.topjohnwu.superuser.internal.RootServiceManager$BindTask,0,1,0
com.topjohnwu.superuser.internal.IOFactory,6,9,10
com.topjohnwu.superuser.internal.RootServiceManager$Predicate,1,1,0
com.topjohnwu.superuser.internal.RootServiceServer$ServiceRecord,4,1,0
com.topjohnwu.superuser.internal.StreamGobbler$OUT,2,4,1
com.topjohnwu.superuser.internal.UiThreadHandler,3,4,0
com.topjohnwu.superuser.internal.FileUtils$Flag,0,0,0
com.topjohnwu.superuser.internal.WaitRunnable,1,5,0
com.topjohnwu.superuser.internal.ShellIO,13,63,30
com.topjohnwu.superuser.io.SuFileOutputStream,5,8,10
com.topjohnwu.superuser.internal.RootServerMain$ResourcesWrapper,2,3,1
com.topjohnwu.libsuexample.MainActivity$AppendCallbackList,1,1,0
com.topjohnwu.superuser.internal.OpenFile,5,41,0
com.topjohnwu.superuser.Shell$Initializer,3,1,0
com.topjohnwu.superuser.Shell$GetShellCallback,2,1,0
com.topjohnwu.libsuexample.MainActivity,21,14,0
com.topjohnwu.superuser.internal.RootServiceManager$RemoteServiceRecord,3,1,0
com.topjohnwu.superuser.internal.RootServiceManager$ServiceKey,2,3,3
com.topjohnwu.superuser.internal.FileSystemService,9,56,85
com.topjohnwu.libsuexample.StressTest,7,28,0
com.topjohnwu.superuser.internal.RootServiceServer$ClientProcess,5,2,0
com.topjohnwu.superuser.NoShellException,0,2,1
com.topjohnwu.superuser.internal.RootServiceServer,23,50,66
com.topjohnwu.superuser.internal.DataOutputImpl,4,14,78
com.topjohnwu.superuser.internal.BuilderImpl,11,30,30
com.topjohnwu.superuser.internal.ResultHolder,5,3,0
com.topjohnwu.superuser.internal.RAFWrapper,3,40,0
com.topjohnwu.superuser.internal.IOResult,5,8,0
com.topjohnwu.superuser.internal.CommandSource,2,3,0
com.topjohnwu.superuser.internal.ResultImpl,2,5,3
com.topjohnwu.libsuexample.MainActivity$AIDLConnection,6,7,0
com.topjohnwu.superuser.internal.PendingJob,10,10,9
com.topjohnwu.libsuexample.StressTest$FileCallback,1,1,0
com.topjohnwu.superuser.internal.FileUtils,8,62,21
com.topjohnwu.superuser.internal.RootServiceManager$ConnectionRecord,3,3,3
com.topjohnwu.superuser.internal.LocalFile,4,23,105
com.topjohnwu.libsuexample.MSGService,9,7,4
com.topjohnwu.superuser.internal.RemoteFileChannel,3,79,95
com.topjohnwu.superuser.internal.ShellPipeStream,5,20,0
com.topjohnwu.superuser.io.SuFileInputStream,5,6,3
com.topjohnwu.superuser.internal.StreamGobbler,3,9,0
com.topjohnwu.superuser.io.SuRandomAccessFile,7,11,36
com.topjohnwu.libsuexample.MainActivity$MSGConnection,6,6,1
com.topjohnwu.superuser.internal.DataInputImpl,4,26,136
com.topjohnwu.superuser.internal.FileImpl,5,21,55
com.topjohnwu.superuser.internal.RootServiceManager$ServiceReceiver,11,8,0
com.topjohnwu.superuser.Shell$Job,5,9,36
com.topjohnwu.superuser.internal.RemoteFile,7,70,0
com.topjohnwu.superuser.nio.FileSystemManager,9,11,36
com.topjohnwu.superuser.Shell,12,21,134
com.topjohnwu.superuser.internal.FileSystemService$Anonymous1,0,1,0
com.topjohnwu.superuser.ShellUtils,5,31,43
com.topjohnwu.superuser.internal.RootServiceManager$RemoteProcess,4,7,1
com.topjohnwu.superuser.internal.NIOFactory$Anonymous1,7,11,3
com.topjohnwu.superuser.internal.NIOFactory$Anonymous2,5,3,3
com.topjohnwu.superuser.internal.RootServerMain,10,21,4
com.topjohnwu.superuser.internal.ResultFuture,3,9,0
com.topjohnwu.superuser.internal.Utils,10,40,151
com.topjohnwu.superuser.CallbackList,4,15,15
com.topjohnwu.superuser.io.SuFile,12,93,1788
com.topjohnwu.superuser.Shell$Result,2,5,6
com.topjohnwu.superuser.internal.ShellBlockIO,5,11,1
com.topjohnwu.superuser.nio.ExtendedFile,3,21,210
com.topjohnwu.superuser.internal.RootServiceManager,28,52,40
com.topjohnwu.superuser.internal.RootServiceServer$AppObserver,4,4,0
com.topjohnwu.superuser.internal.MainShell,13,20,28
com.topjohnwu.superuser.Shell$Task,1,2,1
com.topjohnwu.superuser.ipc.RootService,16,26,171
com.topjohnwu.libsuexample.AIDLService,6,8,13
com.topjohnwu.superuser.internal.StreamGobbler$ERR,1,2,1
com.topjohnwu.superuser.internal.NIOFactory,7,5,6
com.topjohnwu.superuser.internal.InputStreamSource,2,4,0
com.topjohnwu.superuser.internal.ByteOutputStream,2,2,1
com.topjohnwu.superuser.internal.ShellImpl$SyncTask,1,6,0
com.topjohnwu.superuser.internal.ShellImpl,13,41,10
com.topjohnwu.superuser.internal.JobTask,14,26,8
com.topjohnwu.superuser.internal.BinderHolder,3,3,1
com.topjohnwu.superuser.internal.ShellImpl$NoCloseInputStream,0,3,3
com.topjohnwu.superuser.internal.IOResult$Anonymous1,2,2,1
com.topjohnwu.superuser.internal.ShellImpl$NoCloseOutputStream,2,5,6
com.topjohnwu.superuser.Shell$ResultCallback,2,1,0
com.topjohnwu.libsuexample.AIDLService$TestIPC,5,4,6
com.topjohnwu.superuser.internal.ShellJob,8,5,0
com.topjohnwu.superuser.Shell$Builder,7,9,36
com.topjohnwu.libsuexample.MainActivity$ExampleInitializer,5,1,0
com.topjohnwu.superuser.internal.FileContainer,3,11,0
